Artist,Album,Genre,Release Date,Listened On,Favorite Songs,Rating,Tags,,,,,,,,,
Daniel Caesar,NEVER ENOUGH,R&B,4/7/2023,4/18/2023,"Please Do Not Lean, Toronto 2014, Let Me Go",7,New, ,Sufjan Stevens,Javelin,Singer-Songwriter, ,Mosquito,PinkPantheress,"Drum and Bass, Pop",
Fruit Bats,A River Running to Your Heart,"Indie Pop, Folk-Pop",4/14/2023,4/22/2023,"Rushin' River Valley, Racoma, We Used to Live Here",5,New, ,slowthai,UGLY,Post-Punk, ,Spirit 2.0,Sampha,Alternative R&B,
Kara Jackson,Why Does the Earth Give Us People to Love?,"Singer-Songwriter, Indie Folk",4/14/2023,4/23/2023,"pawnshop, why does the earth give us people to love?, no fun/party",9,New, ,Noname,Sundial,Jazz Rap, ,blómi,Susanne Sundfør,Singer-Songwriter,
Unknown Mortal Orchestra,V,Psychedelic Pop,3/17/2023,4/24/2023,"That Life, Nadja, Weekend Run",4,New, ,boygenius,the record,"Singer-Songwriter, Indie-Folk", ,Will U Still U,Jeff Rosenstock,Pop Punk,
Kill Bill: The Rapper,FULLMETAL KAIJU,Jazz Rap,4/26/2023,4/26/2023,"False Swipe, Polybus, Simple",6,New,,MF Tomlinson,We Are Still Wild Horses,Singer-Songwriter,,Locals,underscores,Hyperpop,
Maruja,Knocknarea,"Art Rock, Post-Punk",3/17/2023,4/27/2023,"Thunder, The Tinker, Blind Spot",7,New, ,Jeff Rosenstock,HELLMODE,Pop Punk, ,Alien Love Call,"Turnstile, BADBADNOTGOOD",Jazz Fusion,
M.A.G.S.,Say Things That Matter,"Alternative, Indie Rock",8/13/2021,4/29/2023,"Smile, Wait, Sunrise",5.5,Recommendation - Cyrus, ,PinkPantheress,Heaven Knows,"Drum and Bass, Pop", ,Sooner,slowthai,Post-Punk,
Susanne Sundfør,blómi,Singer-Songwriter,4/28/2023,5/1/2023,"blómi, alyosha, náttsǫngr",8.5,New, ,Jordan Ward,FORWARD,R&B,,Please Do Not Lean,Daniel Caesar,R&B,
Jessie Ware,That! Feels Good!,"Dance Pop, Disco",4/28/2023,5/10/2023,"Being Again, Pearls, That! Feels Good!",9,New, ,underscores,Wallsocket,"Hyperpop, Electronic", ,Everything I Want,George Clanton,"Dream Pop, Psychedelia", 
Panchiko,Failed at Math(s),Shoegaze,5/5/2023,5/16/2023,"Failed At Math(s), Gwen Everest, Think That's Too Wise",5,New, ,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,"Singer-Songwriter, Art Pop",,A Cloud,MF Tomlinson,Singer-Songwriter, 
Hannah Jadagu,Aperture,Indie,5/19/2023,5/18/2023,"Warning Sign, Say It Now, Your Thoughts Are Ur Biggest Obstacle",3.5,New, ,Olivia Rodrigo,GUTS,Pop, ,the ordinary is ordinary because it ordinarily repeats,Jonah Yano,Jazz,
Jordan Ward,FORWARD,R&B,3/3/2023,6/4/2023,"FAMJAM4000, WHITE CROCS, CHERIMOYA",8,New, ,YUKIKA,Time-Lapse,"Kpop, City Pop, Covers",,Tourniquet,Zach Bryan,Country, 
Portraits Of Tracy,Drive Home,"Pop Rap, R&B",5/26/2023,6/8/2023,"Found!, Graceland, Home",9,New, ,Daniel Caesar,NEVER ENOUGH,R&B,,Will Anybody Ever Love Me,Sufjan Stevens,Singer-Songwriter,
Janelle Monáe,The  Age of Pleasure,Pop,6/9/2023,6/18/2023,"Float, Only Have Eyes 42, Champagne Shit",6,New, ,Maruja,Knocknarea,"Art Rock, Post-Punk",,Dragonfly,Dana and Alden,Jazz,
King Gizzard & The Lizard Wizard,"PetroDragonic Apocalypse; or, Dawn of Eternal Night: An Annihilation of Planet Earth and the Beginning of Merciless Damnation",Metal,6/16/2023,6/20/2023,"Gila Monster, Motor Spirit, Witchcraft",7,New, ,Parannoul,After the Magic,Shoegaze,,Did you know that there's a tunnel under Ocean Blvd,Lana Del Rey,"Singer-Songwriter, Art Pop", 
King Krule,Space Heavy,Psychedelic,6/9/2023,6/23/2023,"Tortoise Of Independency, Seaforth, If Only It Was Warmth",4,New, ,Jane Remover,Census Designated,Shoegaze,,Thunder,Maruja,"Art Rock, Post-Punk",
Yves Tumor,"Praise A Lord Who Chews But Which Does Not Consume; (Or Simply, Hot Between Worlds)","Indie Rock, Psychedelic",3/17/2023,7/2/2023,"In Spite of War, Fear Evil Like Fire, Ebony Eye",6,New, ,KNOWER,KNOWER FOREVER,"Jazz, Funk",,Turbines/Pigs,"Black Country, New Road",Art Rock,
McKinley Dixon,Beloved! Paradise! Jazz!?,"Jazz Rap, Conscious Hip Hop",6/2/2023,7/3/2023,"Beloved! Paradise! Jazz?, Tyler Forever, Sun I Rise",9,New, ,King Gizzard & The Lizard Wizard,"PetroDragonic Apocalypse; or, Dawn of Eternal Night: An Annihilation of Planet Earth and the Beginning of Merciless Damnation",Metal,,Revolution 0,boygenius,"Singer-Songwriter, Indie Folk", 
